,Document Name,Category,Original Metadata,Metadata Match,Context,Possible Matches
34,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"1.4 ""Customer Owned Materials” means the Work Product, except for MetricStream's Pre-existing Works.1.5 ""Designated System"" means Customer's or Metric Stream's computer hardware and operating system designated on the relevant Order Form.1.6 ""Intellectual Property Rights” means all of the following in any jurisdiction throughout the world and whether existing now or in the future: (a) patents and patent disclosures; (b) copyrights and copyrightable works; (c) trademarks, service marks, trade dress, trade name, logos, and other designations a party uses in connection with its business (whether registered or unregistered); (d) trade secrets and know-how; (e) any other proprietary or intellectual property rights.",['Intellectual Property Rights']
35,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Work Order,"1.4 ""Customer Owned Materials” means the Work Product, except for MetricStream's Pre-existing Works.1.5 ""Designated System"" means Customer's or Metric Stream's computer hardware and operating system designated on the relevant Order Form.1.6 ""Intellectual Property Rights” means all of the following in any jurisdiction throughout the world and whether existing now or in the future: (a) patents and patent disclosures; (b) copyrights and copyrightable works; (c) trademarks, service marks, trade dress, trade name, logos, and other designations a party uses in connection with its business (whether registered or unregistered); (d) trade secrets and know-how; (e) any other proprietary or intellectual property rights.",['Intellectual Property Rights']
37,FHLB_Chicago_2016_Renewal.pdf,Person,Client Name,Client Name,"1.4 ""Customer Owned Materials” means the Work Product, except for MetricStream's Pre-existing Works.1.5 ""Designated System"" means Customer's or Metric Stream's computer hardware and operating system designated on the relevant Order Form.1.6 ""Intellectual Property Rights” means all of the following in any jurisdiction throughout the world and whether existing now or in the future: (a) patents and patent disclosures; (b) copyrights and copyrightable works; (c) trademarks, service marks, trade dress, trade name, logos, and other designations a party uses in connection with its business (whether registered or unregistered); (d) trade secrets and know-how; (e) any other proprietary or intellectual property rights.",[]
42,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Statement of Work,"1.6 ""Intellectual Property Rights” means all of the following in any jurisdiction throughout the world and whether existing now or in the future: (a) patents and patent disclosures; (b) copyrights and copyrightable works; (c) trademarks, service marks, trade dress, trade name, logos, and other designations a party uses in connection with its business (whether registered or unregistered); (d) trade secrets and know-how; (e) any other proprietary or intellectual property rights.1,7 ""MetricStream's Pre-existing Works"" means any and all works including Intellectual Property Rights and Software owned by Metric Stream prior to the commencement of the statement of work (""SOW"") described under this Agreement.1.8 ""MetrieStream Personnel"" means any employee, agent, consultant, or subcontractor that MetricStream engages or otherwise assigns to perforin Services under this Agreement or any applicable SOW or Order Fonn.",['Intellectual Property Rights and Software']
43,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"1,7 ""MetricStream's Pre-existing Works"" means any and all works including Intellectual Property Rights and Software owned by Metric Stream prior to the commencement of the statement of work (""SOW"") described under this Agreement.1.8 ""MetrieStream Personnel"" means any employee, agent, consultant, or subcontractor that MetricStream engages or otherwise assigns to perforin Services under this Agreement or any applicable SOW or Order Fonn.1.9 ""Order Form"" means MetricStream's then-current standard form for ordering Services attached to this Agreement or added to this Agreement from time to time.",['Intellectual Property Rights and Software']
44,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Work Order,"1,7 ""MetricStream's Pre-existing Works"" means any and all works including Intellectual Property Rights and Software owned by Metric Stream prior to the commencement of the statement of work (""SOW"") described under this Agreement.1.8 ""MetrieStream Personnel"" means any employee, agent, consultant, or subcontractor that MetricStream engages or otherwise assigns to perforin Services under this Agreement or any applicable SOW or Order Fonn.1.9 ""Order Form"" means MetricStream's then-current standard form for ordering Services attached to this Agreement or added to this Agreement from time to time.",['Intellectual Property Rights and Software']
45,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"1.8 ""MetrieStream Personnel"" means any employee, agent, consultant, or subcontractor that MetricStream engages or otherwise assigns to perforin Services under this Agreement or any applicable SOW or Order Fonn.1.9 ""Order Form"" means MetricStream's then-current standard form for ordering Services attached to this Agreement or added to this Agreement from time to time.Each Order Form shall be consecutively numbered and shall reference the Metric Stream Agreement number above and the Effective Date of this Agreement.",[]
47,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"1.9 ""Order Form"" means MetricStream's then-current standard form for ordering Services attached to this Agreement or added to this Agreement from time to time.Each Order Form shall be consecutively numbered and shall reference the Metric Stream Agreement number above and the Effective Date of this Agreement.Customer's initial purchase of Cloud Services is reflected in Order Forn No.",[]
50,FHLB_Chicago_2016_Renewal.pdf,Date,Effective Date,Effective Date,"1.9 ""Order Form"" means MetricStream's then-current standard form for ordering Services attached to this Agreement or added to this Agreement from time to time.Each Order Form shall be consecutively numbered and shall reference the Metric Stream Agreement number above and the Effective Date of this Agreement.Customer's initial purchase of Cloud Services is reflected in Order Forn No.",[]
52,FHLB_Chicago_2016_Renewal.pdf,Date,Effective Date,Effective Date,"1.9 ""Order Form"" means MetricStream's then-current standard form for ordering Services attached to this Agreement or added to this Agreement from time to time.Each Order Form shall be consecutively numbered and shall reference the Metric Stream Agreement number above and the Effective Date of this Agreement.Customer's initial purchase of Cloud Services is reflected in Order Forn No.",[]
60,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"Each Order Form shall be consecutively numbered and shall reference the Metric Stream Agreement number above and the Effective Date of this Agreement.Customer's initial purchase of Cloud Services is reflected in Order Forn No.1, attached hereto as Exhibit A. 1 Page V.02 April 2016    MetricStream 1.10 ""Professional Services"" has the meaning set forth in Section 2.5 of this Agreement.","['Exhibit A. 1 Page', 'Section 2.5 of this Agreement']"
64,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Master Service Agreement,"Customer's initial purchase of Cloud Services is reflected in Order Forn No.1, attached hereto as Exhibit A. 1 Page V.02 April 2016    MetricStream 1.10 ""Professional Services"" has the meaning set forth in Section 2.5 of this Agreement.1.11 ""Services"" means any Cloud Services and/or Professional Services that MeticStream provides to Customer under this Agreement and any applicable SOW or Order Form.","['Exhibit A. 1 Page', 'Section 2.5']"
65,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Master Service Agreement,"1, attached hereto as Exhibit A. 1 Page V.02 April 2016    MetricStream 1.10 ""Professional Services"" has the meaning set forth in Section 2.5 of this Agreement.1.11 ""Services"" means any Cloud Services and/or Professional Services that MeticStream provides to Customer under this Agreement and any applicable SOW or Order Form.1.12 ""Software"" means any software specifically enumerated under an applicable Order Form or SOW or any software that MetricStream otherwise makes available to Customer as part of the Cloud Services.","['Exhibit A. 1 Page', 'Section 2.5']"
66,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"1, attached hereto as Exhibit A. 1 Page V.02 April 2016    MetricStream 1.10 ""Professional Services"" has the meaning set forth in Section 2.5 of this Agreement.1.11 ""Services"" means any Cloud Services and/or Professional Services that MeticStream provides to Customer under this Agreement and any applicable SOW or Order Form.1.12 ""Software"" means any software specifically enumerated under an applicable Order Form or SOW or any software that MetricStream otherwise makes available to Customer as part of the Cloud Services.","['Exhibit A. 1 Page', 'Section 2.5']"
70,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"1.11 ""Services"" means any Cloud Services and/or Professional Services that MeticStream provides to Customer under this Agreement and any applicable SOW or Order Form.1.12 ""Software"" means any software specifically enumerated under an applicable Order Form or SOW or any software that MetricStream otherwise makes available to Customer as part of the Cloud Services.1.13 “User"" means each individual who accesses the Services at a given point in time whether by a browser or other instrumentality.",[]
77,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"1.13 “User"" means each individual who accesses the Services at a given point in time whether by a browser or other instrumentality.For purposes of the restrictions set forth in this Agreement, access to the Services, through common user or login names, is limited to the number of Users as specified in the Order Form.1.14 ""Work Product” means all work for hire performed by Metric Stream in a SOW for Customer excluding any of MetricStreami's Pre-existing Works.",[]
78,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Work Order,"1.13 “User"" means each individual who accesses the Services at a given point in time whether by a browser or other instrumentality.For purposes of the restrictions set forth in this Agreement, access to the Services, through common user or login names, is limited to the number of Users as specified in the Order Form.1.14 ""Work Product” means all work for hire performed by Metric Stream in a SOW for Customer excluding any of MetricStreami's Pre-existing Works.",[]
87,FHLB_Chicago_2016_Renewal.pdf,Person,Client Name,Client Name,"For purposes of the restrictions set forth in this Agreement, access to the Services, through common user or login names, is limited to the number of Users as specified in the Order Form.1.14 ""Work Product” means all work for hire performed by Metric Stream in a SOW for Customer excluding any of MetricStreami's Pre-existing Works.2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.",[]
88,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Master Service Agreement,"1.14 ""Work Product” means all work for hire performed by Metric Stream in a SOW for Customer excluding any of MetricStreami's Pre-existing Works.2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and Exhibit B and subject to MetricStreain's acceptable use policy attached as Exhibit C. Any revisions or updates to the acceptable use policy must be mutually agreed to between Metric Stream and Customer through a written amendment to Exhibit C in order for such revisions or updates to be effective between the parties.",[]
92,FHLB_Chicago_2016_Renewal.pdf,Date,Effective Date,Effective Date,2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and Exhibit B and subject to MetricStreain's acceptable use policy attached as Exhibit C. Any revisions or updates to the acceptable use policy must be mutually agreed to between Metric Stream and Customer through a written amendment to Exhibit C in order for such revisions or updates to be effective between the parties.2.2 License to Cloud Application.,[]
94,FHLB_Chicago_2016_Renewal.pdf,Date,Effective Date,Effective Date,2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and Exhibit B and subject to MetricStreain's acceptable use policy attached as Exhibit C. Any revisions or updates to the acceptable use policy must be mutually agreed to between Metric Stream and Customer through a written amendment to Exhibit C in order for such revisions or updates to be effective between the parties.2.2 License to Cloud Application.,[]
102,FHLB_Chicago_2016_Renewal.pdf,Legal,Client Consent required to assign - Y/N,Client Consent,2.0 CLOUD SERVICES AND PROFESSIONAL SERVICES 2.1 Cloud Services.Metric Stream will provide Cloud Services in accordance with this Agreement and Exhibit B and subject to MetricStreain's acceptable use policy attached as Exhibit C. Any revisions or updates to the acceptable use policy must be mutually agreed to between Metric Stream and Customer through a written amendment to Exhibit C in order for such revisions or updates to be effective between the parties.2.2 License to Cloud Application.,[]
108,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"2.2 License to Cloud Application.The Company hereby grants to Customer, a subscription based, non-transferable, non-exclusive license (with no right to sublicense) for the tern of this Agreement (as specified in Section 3) for the Company's Cloud Application as described in the Order Form (Exhibit A) or SOW (Exhibit E).Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the Order Form or SOW, In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment tenns set forth in the Order Form or SOW.",['Section 3']
109,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Work Order,"2.2 License to Cloud Application.The Company hereby grants to Customer, a subscription based, non-transferable, non-exclusive license (with no right to sublicense) for the tern of this Agreement (as specified in Section 3) for the Company's Cloud Application as described in the Order Form (Exhibit A) or SOW (Exhibit E).Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the Order Form or SOW, In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment tenns set forth in the Order Form or SOW.",['Section 3']
113,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"The Company hereby grants to Customer, a subscription based, non-transferable, non-exclusive license (with no right to sublicense) for the tern of this Agreement (as specified in Section 3) for the Company's Cloud Application as described in the Order Form (Exhibit A) or SOW (Exhibit E).Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the Order Form or SOW, In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment tenns set forth in the Order Form or SOW.2.3 Limitation of Rights.",['Section 3']
114,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Work Order,"The Company hereby grants to Customer, a subscription based, non-transferable, non-exclusive license (with no right to sublicense) for the tern of this Agreement (as specified in Section 3) for the Company's Cloud Application as described in the Order Form (Exhibit A) or SOW (Exhibit E).Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the Order Form or SOW, In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment tenns set forth in the Order Form or SOW.2.3 Limitation of Rights.",['Section 3']
116,FHLB_Chicago_2016_Renewal.pdf,Fee,Cloud Fee,Cloud Fee,"The Company hereby grants to Customer, a subscription based, non-transferable, non-exclusive license (with no right to sublicense) for the tern of this Agreement (as specified in Section 3) for the Company's Cloud Application as described in the Order Form (Exhibit A) or SOW (Exhibit E).Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the Order Form or SOW, In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment tenns set forth in the Order Form or SOW.2.3 Limitation of Rights.",[]
117,FHLB_Chicago_2016_Renewal.pdf,Fee,License Fee,License Fee,"The Company hereby grants to Customer, a subscription based, non-transferable, non-exclusive license (with no right to sublicense) for the tern of this Agreement (as specified in Section 3) for the Company's Cloud Application as described in the Order Form (Exhibit A) or SOW (Exhibit E).Customer may not use the Cloud Application to process information owned by or for the benefit of any third party unless such use is specifically in connection with Customer's authorized use of the Cloud Application as specified in the Order Form or SOW, In consideration of the licenses granted herein, Customer shall pay the fees in the amount and in accordance with the payment tenns set forth in the Order Form or SOW.2.3 Limitation of Rights.",[]
133,FHLB_Chicago_2016_Renewal.pdf,Agreement,Agreement Type,Order Form,"Customer agrees that the Company owns all right, title and interest, including but not limited to copyright, patent, trade secret and all other intellectual property rights, in and to the Cloud Application, and any changes, modifications or corrections thereof, Customer hereby irrevocably assigns to the Company any and all rights it may be deemed to have in any changes, modifications or corrections to the Cloud Application, including but not limited to copyright rights, and agrees to execute all documents necessary to implement and effect such assignment.Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the Order Form or SOW of this Agreement; or (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application, Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.","['Section 2.2', 'Section 9.2']"
137,FHLB_Chicago_2016_Renewal.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"Customer agrees that the Company owns all right, title and interest, including but not limited to copyright, patent, trade secret and all other intellectual property rights, in and to the Cloud Application, and any changes, modifications or corrections thereof, Customer hereby irrevocably assigns to the Company any and all rights it may be deemed to have in any changes, modifications or corrections to the Cloud Application, including but not limited to copyright rights, and agrees to execute all documents necessary to implement and effect such assignment.Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the Order Form or SOW of this Agreement; or (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application, Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.","['Section 2.2', 'Section 9.2']"
138,FHLB_Chicago_2016_Renewal.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms","Customer agrees that the Company owns all right, title and interest, including but not limited to copyright, patent, trade secret and all other intellectual property rights, in and to the Cloud Application, and any changes, modifications or corrections thereof, Customer hereby irrevocably assigns to the Company any and all rights it may be deemed to have in any changes, modifications or corrections to the Cloud Application, including but not limited to copyright rights, and agrees to execute all documents necessary to implement and effect such assignment.Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the Order Form or SOW of this Agreement; or (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application, Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.",[]
139,FHLB_Chicago_2016_Renewal.pdf,Legal,Client Consent required to assign - Y/N,Client Consent,"Customer agrees that the Company owns all right, title and interest, including but not limited to copyright, patent, trade secret and all other intellectual property rights, in and to the Cloud Application, and any changes, modifications or corrections thereof, Customer hereby irrevocably assigns to the Company any and all rights it may be deemed to have in any changes, modifications or corrections to the Cloud Application, including but not limited to copyright rights, and agrees to execute all documents necessary to implement and effect such assignment.Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the Order Form or SOW of this Agreement; or (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application, Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.","['Section 2.2', 'Section 9.2']"
143,FHLB_Chicago_2016_Renewal.pdf,Legal,Client Consent required to assign - Y/N,Client Consent,"Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the Order Form or SOW of this Agreement; or (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application, Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.For any onsite services requested by Customer, Customer shall reimburse Metric Stream for actual, reasonable, pre-approved travel and out-of-pocket expenses incurred.","['Section 2.2', 'Section 9.2']"
146,FHLB_Chicago_2016_Renewal.pdf,Legal,Client Consent required to assign - Y/N,Client Consent,"Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.For any onsite services requested by Customer, Customer shall reimburse Metric Stream for actual, reasonable, pre-approved travel and out-of-pocket expenses incurred.Airfare expenses will be at coach fares, hotel and all other expenses will be reimbursed in accordance with Customer's Travel Policy.",['Section 9.2']
