,Document Name,Category,Original Metadata,Metadata Match,Context,Possible Matches
85,FHLBC 1Year Renewal for Internal Audit.pdf,Date,"Renewal Date, Renewal Potice Date","Renewal Date, Renewal Notice Date","First year’s Fees is due upon signing of this Order Form. For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form. Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.","['First year', 'each year', '30 days']"
101,FHLBC 1Year Renewal for Internal Audit.pdf,Date,"Renewal Date, Renewal Potice Date","Renewal Date, Renewal Notice Date"," For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form. Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.","['each year', '30 days']"
102,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Renewal Term,Renewal Term," For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form. Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.","['each year', '30 days']"
111,FHLBC 1Year Renewal for Internal Audit.pdf,Financial,Payment term,Payment term," For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form. Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.",[]
113,FHLBC 1Year Renewal for Internal Audit.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms"," For each year thereafter, the Fees will be invoiced 30 days prior to the anniversary signature date of this Order Form. Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.",[]
115,FHLBC 1Year Renewal for Internal Audit.pdf,Date,"Renewal Date, Invoice billing date for renewals-- period/days (Days we can bill prior to renewal term start), Renewal Potice Date","Invoice billing date for renewal, Renewal Date, Renewal Notice Date", Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required.,"['30 days', 'monthly']"
120,FHLBC 1Year Renewal for Internal Audit.pdf,Date,"Renewal Date, Renewal Potice Date","Renewal Date, Renewal Notice Date", Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required.,"['30 days', 'monthly']"
121,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Renewal Term,Renewal Term, Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required.,"['30 days', 'monthly']"
126,FHLBC 1Year Renewal for Internal Audit.pdf,Financial,Payment term,Payment term, Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required.,[]
128,FHLBC 1Year Renewal for Internal Audit.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms", Fee for Renewal Terms The Fees for each subsequent Term shall be increased by 2%.  Payment Terms: Net 30 days from the date of Invoice.MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required.,[]
131,FHLBC 1Year Renewal for Internal Audit.pdf,Address,Billing Address,Billing Address,"  Payment Terms: Net 30 days from the date of Invoice.MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required. If Purchase Order required, Purchase Order No.: _________.",[]
134,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form,"  Payment Terms: Net 30 days from the date of Invoice.MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required. If Purchase Order required, Purchase Order No.: _________.",[]
147,FHLBC 1Year Renewal for Internal Audit.pdf,Person,Client Name,Client Name,"  Payment Terms: Net 30 days from the date of Invoice.MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required. If Purchase Order required, Purchase Order No.: _________.",['Tom Harper']
151,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form,"MetricStream may charge Customer a one and one-half percent (1 ½%) finance charge to be calculated monthly with respect to all outstanding amounts not paid within thirty (30) days following the due date on an invoice  Data Centre Location: USA  Invoice Address:   Customer Name; Federal Home Loan Bank of Chicago Attn:   Tom Harper Email: tharper@fhlbc.com Phone: 312-565-5768  Purchase Order Information:    If no Purchase Order is required. If Purchase Order required, Purchase Order No.: _________.Purchase Orders must be issued within two (2) weeks of the Subscription Start Date.",[]
161,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Subscription Beginning Date,Start Date," If Purchase Order required, Purchase Order No.: _________.Purchase Orders must be issued within two (2) weeks of the Subscription Start Date. Failure to issue a Purchase Order shall not relieve Customer of its obligations to pay all invoices pursuant to the Payments Terms above.",['2) weeks']
164,FHLBC 1Year Renewal for Internal Audit.pdf,Date,"Subscription Beginning Date, Term Start Date","Start Date, Term Start Date"," If Purchase Order required, Purchase Order No.: _________.Purchase Orders must be issued within two (2) weeks of the Subscription Start Date. Failure to issue a Purchase Order shall not relieve Customer of its obligations to pay all invoices pursuant to the Payments Terms above.",['2) weeks']
165,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form,"Purchase Orders must be issued within two (2) weeks of the Subscription Start Date. Failure to issue a Purchase Order shall not relieve Customer of its obligations to pay all invoices pursuant to the Payments Terms above. To the extent any terms in the PO conflicts with this Order Form, the terms of this Order Form shall govern.",[]
168,FHLBC 1Year Renewal for Internal Audit.pdf,Financial,Payment term,Payment term,"Purchase Orders must be issued within two (2) weeks of the Subscription Start Date. Failure to issue a Purchase Order shall not relieve Customer of its obligations to pay all invoices pursuant to the Payments Terms above. To the extent any terms in the PO conflicts with this Order Form, the terms of this Order Form shall govern.",[]
170,FHLBC 1Year Renewal for Internal Audit.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms","Purchase Orders must be issued within two (2) weeks of the Subscription Start Date. Failure to issue a Purchase Order shall not relieve Customer of its obligations to pay all invoices pursuant to the Payments Terms above. To the extent any terms in the PO conflicts with this Order Form, the terms of this Order Form shall govern.",[]
173,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form," Failure to issue a Purchase Order shall not relieve Customer of its obligations to pay all invoices pursuant to the Payments Terms above. To the extent any terms in the PO conflicts with this Order Form, the terms of this Order Form shall govern.   Documentation List: User’s Manual, System Administrator Manual and Training Documents   Premium OnDemand Cloud Services Description  DocuSign Envelope ID: FA40C544-EB89-463E-87B0-2B15A381A189MetricStream  2 | P a g e      MS-INF-CLD-PRM/SUBS  The Premium Cloud Services includes:   Unlimited number of MetricStream Applications  Supports unlimited named users  Supports up to 2000 active/concurrent users  Production Environment - Dedicated Instance  Pre –Production Environment - Dedicated Instance  Disaster Recovery Environment - Dedicated Instance in a separate Data center o In the event of a Disaster, the disaster recovery instance will be brought online.",[]
176,FHLBC 1Year Renewal for Internal Audit.pdf,Financial,Payment term,Payment term," Failure to issue a Purchase Order shall not relieve Customer of its obligations to pay all invoices pursuant to the Payments Terms above. To the extent any terms in the PO conflicts with this Order Form, the terms of this Order Form shall govern.   Documentation List: User’s Manual, System Administrator Manual and Training Documents   Premium OnDemand Cloud Services Description  DocuSign Envelope ID: FA40C544-EB89-463E-87B0-2B15A381A189MetricStream  2 | P a g e      MS-INF-CLD-PRM/SUBS  The Premium Cloud Services includes:   Unlimited number of MetricStream Applications  Supports unlimited named users  Supports up to 2000 active/concurrent users  Production Environment - Dedicated Instance  Pre –Production Environment - Dedicated Instance  Disaster Recovery Environment - Dedicated Instance in a separate Data center o In the event of a Disaster, the disaster recovery instance will be brought online.",[]
178,FHLBC 1Year Renewal for Internal Audit.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms"," Failure to issue a Purchase Order shall not relieve Customer of its obligations to pay all invoices pursuant to the Payments Terms above. To the extent any terms in the PO conflicts with this Order Form, the terms of this Order Form shall govern.   Documentation List: User’s Manual, System Administrator Manual and Training Documents   Premium OnDemand Cloud Services Description  DocuSign Envelope ID: FA40C544-EB89-463E-87B0-2B15A381A189MetricStream  2 | P a g e      MS-INF-CLD-PRM/SUBS  The Premium Cloud Services includes:   Unlimited number of MetricStream Applications  Supports unlimited named users  Supports up to 2000 active/concurrent users  Production Environment - Dedicated Instance  Pre –Production Environment - Dedicated Instance  Disaster Recovery Environment - Dedicated Instance in a separate Data center o In the event of a Disaster, the disaster recovery instance will be brought online.",[]
191,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,backup,backup,"The Recovery Time Objective (RTO) is less than six (6) hours and the Recovery Point Objective (RPO) is less than 1 hour. Backup application servers are not used, nor are redundant locations.   System administration and support services as set forth in the Service Level Agreement in Exhibit B  Application and database performance tuning services  Backup and Recovery Services o Perform daily backups of data off the server and backups of data off site.",[]
192,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,backup,backup," Backup application servers are not used, nor are redundant locations.   System administration and support services as set forth in the Service Level Agreement in Exhibit B  Application and database performance tuning services  Backup and Recovery Services o Perform daily backups of data off the server and backups of data off site. All Licensee data will be encrypted for these backups.",[]
194,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,backup,backup,"   System administration and support services as set forth in the Service Level Agreement in Exhibit B  Application and database performance tuning services  Backup and Recovery Services o Perform daily backups of data off the server and backups of data off site. All Licensee data will be encrypted for these backups. In the event of system failure, data could potentially be lost for up to a 1-hour period.",[]
199,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,backup,backup," In the event of system failure, data could potentially be lost for up to a 1-hour period.o Encrypted Backup retention (off-site) is 15 days o If data from the system is accidentally deleted by Licensee, restoration of this data may be charged at MetricStream’s then current hourly rates. Network Connectivity o A 100GB/month bandwidth will be provided to Licensee.",[]
208,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form,"o Access to the Internet from the Licensee’s site and/or computers will be the responsibility of the Licensee. Encryption of data-in-transit and data-at-rest  24/7 Network Operations Center (NOC) and Service Operations Control (SOC)  Host Intrusion Prevention System (HIPS)  Third party Identity Access Management (IAM) integration (LDAP/AD/SSO)  IP Filtering  Compliance - SOC2, and HIPAA  In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern. IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.",[]
209,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Work Order,"o Access to the Internet from the Licensee’s site and/or computers will be the responsibility of the Licensee. Encryption of data-in-transit and data-at-rest  24/7 Network Operations Center (NOC) and Service Operations Control (SOC)  Host Intrusion Prevention System (HIPS)  Third party Identity Access Management (IAM) integration (LDAP/AD/SSO)  IP Filtering  Compliance - SOC2, and HIPAA  In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern. IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.",[]
212,FHLBC 1Year Renewal for Internal Audit.pdf,Legal,"Contract Term- 1 year, multiple years, optional years",Contract Term,"o Access to the Internet from the Licensee’s site and/or computers will be the responsibility of the Licensee. Encryption of data-in-transit and data-at-rest  24/7 Network Operations Center (NOC) and Service Operations Control (SOC)  Host Intrusion Prevention System (HIPS)  Third party Identity Access Management (IAM) integration (LDAP/AD/SSO)  IP Filtering  Compliance - SOC2, and HIPAA  In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern. IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.",[]
213,FHLBC 1Year Renewal for Internal Audit.pdf,"Legal, Agreement","Agreement Type, Other Order Form Terms","Order Form, Other Order Form Terms","o Access to the Internet from the Licensee’s site and/or computers will be the responsibility of the Licensee. Encryption of data-in-transit and data-at-rest  24/7 Network Operations Center (NOC) and Service Operations Control (SOC)  Host Intrusion Prevention System (HIPS)  Third party Identity Access Management (IAM) integration (LDAP/AD/SSO)  IP Filtering  Compliance - SOC2, and HIPAA  In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern. IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.",[]
214,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form," Encryption of data-in-transit and data-at-rest  24/7 Network Operations Center (NOC) and Service Operations Control (SOC)  Host Intrusion Prevention System (HIPS)  Third party Identity Access Management (IAM) integration (LDAP/AD/SSO)  IP Filtering  Compliance - SOC2, and HIPAA  In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern. IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.   METRICSTREAM, INC.",[]
215,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Work Order," Encryption of data-in-transit and data-at-rest  24/7 Network Operations Center (NOC) and Service Operations Control (SOC)  Host Intrusion Prevention System (HIPS)  Third party Identity Access Management (IAM) integration (LDAP/AD/SSO)  IP Filtering  Compliance - SOC2, and HIPAA  In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern. IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.   METRICSTREAM, INC.",[]
220,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Fully Executed Date,Fully Executed Date," Encryption of data-in-transit and data-at-rest  24/7 Network Operations Center (NOC) and Service Operations Control (SOC)  Host Intrusion Prevention System (HIPS)  Third party Identity Access Management (IAM) integration (LDAP/AD/SSO)  IP Filtering  Compliance - SOC2, and HIPAA  In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern. IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.   METRICSTREAM, INC.",[]
224,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Term End Date,Term End Date," Encryption of data-in-transit and data-at-rest  24/7 Network Operations Center (NOC) and Service Operations Control (SOC)  Host Intrusion Prevention System (HIPS)  Third party Identity Access Management (IAM) integration (LDAP/AD/SSO)  IP Filtering  Compliance - SOC2, and HIPAA  In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern. IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.   METRICSTREAM, INC.",[]
228,FHLBC 1Year Renewal for Internal Audit.pdf,Agreement,Agreement Type,Order Form,"   METRICSTREAM, INC. FEDERAL HOME LOAN BANK OF CHICAGO By:      By:  Name:   Name:   Title: Date:    Title: Date:               DocuSign Envelope ID: FA40C544-EB89-463E-87B0-2B15A381A18912/19/2019Thomas H W HarperEVP GASalil JainChief Client Officer12/23/2019MetricStream  3 | P a g e      MS-INF-CLD-PRM/SUBS          DocuSign Envelope ID: FA40C544-EB89-463E-87B0-2B15A381A189	Documentation List: User’s Manual, System Administrator Manual and Training Documents	In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern.	IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.",[]
235,FHLBC 1Year Renewal for Internal Audit.pdf,Date,Fully Executed Date,Fully Executed Date,"   METRICSTREAM, INC. FEDERAL HOME LOAN BANK OF CHICAGO By:      By:  Name:   Name:   Title: Date:    Title: Date:               DocuSign Envelope ID: FA40C544-EB89-463E-87B0-2B15A381A18912/19/2019Thomas H W HarperEVP GASalil JainChief Client Officer12/23/2019MetricStream  3 | P a g e      MS-INF-CLD-PRM/SUBS          DocuSign Envelope ID: FA40C544-EB89-463E-87B0-2B15A381A189	Documentation List: User’s Manual, System Administrator Manual and Training Documents	In the event of any conflict between the terms of this Order Form and those of the Agreement, the terms of this Order Form shall govern.	IN WITNESS, WHEREOF, the Parties intending to be legally bound have caused this Order Form to be executed by their duly authorized representatives as of the later date written below.",[]
