,Category,Original_Keyword,Searched_Keyword,sentence_number,Text,Secondary_Term,Secondary_Synonym,Secondary_Context
10,Agreement,agreement,agreement,2,"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.",[],[],
11,Legal,term,condition,2,"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.",['order'],['order'],"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement."
12,Legal,term,term,2,"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.",['order'],['order'],"Europa , 18 P.E. La Moraleja 28108 Alcobendas (Madrid) with notices to be delivered to: [Same as above] ""License"" Annual Subscription “Term"" Initial Term of three (3) years, unless terminated as provided in the Terms and Conditions.“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement."
13,Time,term,condition,3,"This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.",['order'],['order'],"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.This Agreement constitutes the entire agreement between the Parties with respect to its subject matter, and supersedes all prior or contemporaneous agreements, understandings, representations, warranties, promises, and discussions, whether written or oral, between the Parties regarding the same."
14,Time,term,term,3,"This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.",['order'],['order'],"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.This Agreement constitutes the entire agreement between the Parties with respect to its subject matter, and supersedes all prior or contemporaneous agreements, understandings, representations, warranties, promises, and discussions, whether written or oral, between the Parties regarding the same."
15,Agreement,agreement,agreement,3,"This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.",[],[],
16,Legal,term,condition,3,"This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.",['order'],['order'],"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.This Agreement constitutes the entire agreement between the Parties with respect to its subject matter, and supersedes all prior or contemporaneous agreements, understandings, representations, warranties, promises, and discussions, whether written or oral, between the Parties regarding the same."
17,Legal,term,term,3,"This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.",['order'],['order'],"“Order Form"" Attached as Exhibit A “Service Level Agreement” As set forth in the Application Service Provider Service Level Agreement located at http://www.inetricstream.com/ASP-terms-and-conditions.html ""Acceptable Use Policy"" As set forth in the Acceptable Use Policy for Cloud Applications located at http://www.metricstream.com/ASP-terms-and-conditions.html ""MetricStream Terms and Conditions"" As set forth in the Application Service Provider Terms and Conditions located at http://www.metricstream.com/ASP-terms-and-conditions.htinl Agreement Terms.This Agreement shall consist of the Metric Stream Terms and Conditions, Service Level Agreement, the Acceptable Use Policy, all Order Forms, SOWs, all other attachments, addenda, amendments hereto, and any purchase orders issued under this Agreement.This Agreement constitutes the entire agreement between the Parties with respect to its subject matter, and supersedes all prior or contemporaneous agreements, understandings, representations, warranties, promises, and discussions, whether written or oral, between the Parties regarding the same."
18,Agreement,agreement,understanding,4,"This Agreement constitutes the entire agreement between the Parties with respect to its subject matter, and supersedes all prior or contemporaneous agreements, understandings, representations, warranties, promises, and discussions, whether written or oral, between the Parties regarding the same.",[],[],
19,Agreement,agreement,agreement,4,"This Agreement constitutes the entire agreement between the Parties with respect to its subject matter, and supersedes all prior or contemporaneous agreements, understandings, representations, warranties, promises, and discussions, whether written or oral, between the Parties regarding the same.",[],[],
20,Time,term,term,5,"In the event of a conflict between the terms of this Agreement and an applicable Order Form, the Order Form shall govern.",['order'],['order'],"This Agreement constitutes the entire agreement between the Parties with respect to its subject matter, and supersedes all prior or contemporaneous agreements, understandings, representations, warranties, promises, and discussions, whether written or oral, between the Parties regarding the same.In the event of a conflict between the terms of this Agreement and an applicable Order Form, the Order Form shall govern.IN WITNESS WHEREOF, the Parties have executed this Agreement through their authorized representatives."
21,Agreement,agreement,agreement,5,"In the event of a conflict between the terms of this Agreement and an applicable Order Form, the Order Form shall govern.",[],[],
22,Legal,term,term,5,"In the event of a conflict between the terms of this Agreement and an applicable Order Form, the Order Form shall govern.",['order'],['order'],"This Agreement constitutes the entire agreement between the Parties with respect to its subject matter, and supersedes all prior or contemporaneous agreements, understandings, representations, warranties, promises, and discussions, whether written or oral, between the Parties regarding the same.In the event of a conflict between the terms of this Agreement and an applicable Order Form, the Order Form shall govern.IN WITNESS WHEREOF, the Parties have executed this Agreement through their authorized representatives."
23,Agreement,agreement,agreement,6,"IN WITNESS WHEREOF, the Parties have executed this Agreement through their authorized representatives.",[],[],
24,Agreement,agreement,agreement,7,"BOTH PARTIES ACKNOWLEDGE THAT THEY HAVE READ THIS AGREEMENT IN ITS ENTIRETY, UNDERSTAND IT AND AGREE TO BE BOUND BY IT.",[],[],
25,Time,date,date,8,"Authorized representatives of each Party below have executed this Agreement as of the Effective Date: - DocuSigned by: CUSTOMER METRICSTREAM, INC.","['effective', 'executed']","['effective', 'executed']","BOTH PARTIES ACKNOWLEDGE THAT THEY HAVE READ THIS AGREEMENT IN ITS ENTIRETY, UNDERSTAND IT AND AGREE TO BE BOUND BY IT.Authorized representatives of each Party below have executed this Agreement as of the Effective Date: - DocuSigned by: CUSTOMER METRICSTREAM, INC.Steven R. Springsteel Signature: Signature -281DB980EE304F6."
26,Agreement,agreement,agreement,8,"Authorized representatives of each Party below have executed this Agreement as of the Effective Date: - DocuSigned by: CUSTOMER METRICSTREAM, INC.",[],[],
27,Time,date,date,10,Printed Name: 55 met SAAT Steven R. Springsteel Printed Name: Title: DIRECTAL CBURIAS Cestha Title:_ CFO Date:_20106/2007 celeolata Date: 6/22/2017 110116 v.   DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream Exhibit A Order Form No.,['subscription'],['subscription'],"Steven R. Springsteel Signature: Signature -281DB980EE304F6.Printed Name: 55 met SAAT Steven R. Springsteel Printed Name: Title: DIRECTAL CBURIAS Cestha Title:_ CFO Date:_20106/2007 celeolata Date: 6/22/2017 110116 v.   DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream Exhibit A Order Form No.1 Cloud Application: MetricStream will provide the Customer with the following Application/s: Type of License: Annual Subscription License Number of Authorized Users: Enterprise Risk Management - 10 Regular Users Internal Audit Management --10 Regular Users Compliance Management - 10 Regular Users 1000 Citizen (Lite) Users Additional Users: In the event that the client wants to acquire additional Regular licenses, the annual subscription price will be 13,000 Euro (per year) for 10 Regular Users The client may acquire an additional 1000 Citizen (Lite) Users at an annual subscription price of 12,500 Euro (per year) at any time before the 2nd anniversary of the contract License Fee: 72,500 Euro per year Cloud Services Fees: 35,000 Euro per year Invoice Schedule: First year's fee will be split between 70% on contract signing and 30% on Go Live."
28,Person,name,name,10,Printed Name: 55 met SAAT Steven R. Springsteel Printed Name: Title: DIRECTAL CBURIAS Cestha Title:_ CFO Date:_20106/2007 celeolata Date: 6/22/2017 110116 v.   DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream Exhibit A Order Form No.,[],[],
29,Person,client,client,11,"1 Cloud Application: MetricStream will provide the Customer with the following Application/s: Type of License: Annual Subscription License Number of Authorized Users: Enterprise Risk Management - 10 Regular Users Internal Audit Management --10 Regular Users Compliance Management - 10 Regular Users 1000 Citizen (Lite) Users Additional Users: In the event that the client wants to acquire additional Regular licenses, the annual subscription price will be 13,000 Euro (per year) for 10 Regular Users The client may acquire an additional 1000 Citizen (Lite) Users at an annual subscription price of 12,500 Euro (per year) at any time before the 2nd anniversary of the contract License Fee: 72,500 Euro per year Cloud Services Fees: 35,000 Euro per year Invoice Schedule: First year's fee will be split between 70% on contract signing and 30% on Go Live.",['name'],['name'],"Printed Name: 55 met SAAT Steven R. Springsteel Printed Name: Title: DIRECTAL CBURIAS Cestha Title:_ CFO Date:_20106/2007 celeolata Date: 6/22/2017 110116 v.   DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream Exhibit A Order Form No.1 Cloud Application: MetricStream will provide the Customer with the following Application/s: Type of License: Annual Subscription License Number of Authorized Users: Enterprise Risk Management - 10 Regular Users Internal Audit Management --10 Regular Users Compliance Management - 10 Regular Users 1000 Citizen (Lite) Users Additional Users: In the event that the client wants to acquire additional Regular licenses, the annual subscription price will be 13,000 Euro (per year) for 10 Regular Users The client may acquire an additional 1000 Citizen (Lite) Users at an annual subscription price of 12,500 Euro (per year) at any time before the 2nd anniversary of the contract License Fee: 72,500 Euro per year Cloud Services Fees: 35,000 Euro per year Invoice Schedule: First year's fee will be split between 70% on contract signing and 30% on Go Live.For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement."
30,Agreement,user,user,11,"1 Cloud Application: MetricStream will provide the Customer with the following Application/s: Type of License: Annual Subscription License Number of Authorized Users: Enterprise Risk Management - 10 Regular Users Internal Audit Management --10 Regular Users Compliance Management - 10 Regular Users 1000 Citizen (Lite) Users Additional Users: In the event that the client wants to acquire additional Regular licenses, the annual subscription price will be 13,000 Euro (per year) for 10 Regular Users The client may acquire an additional 1000 Citizen (Lite) Users at an annual subscription price of 12,500 Euro (per year) at any time before the 2nd anniversary of the contract License Fee: 72,500 Euro per year Cloud Services Fees: 35,000 Euro per year Invoice Schedule: First year's fee will be split between 70% on contract signing and 30% on Go Live.",['license'],['license'],"Printed Name: 55 met SAAT Steven R. Springsteel Printed Name: Title: DIRECTAL CBURIAS Cestha Title:_ CFO Date:_20106/2007 celeolata Date: 6/22/2017 110116 v.   DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream Exhibit A Order Form No.1 Cloud Application: MetricStream will provide the Customer with the following Application/s: Type of License: Annual Subscription License Number of Authorized Users: Enterprise Risk Management - 10 Regular Users Internal Audit Management --10 Regular Users Compliance Management - 10 Regular Users 1000 Citizen (Lite) Users Additional Users: In the event that the client wants to acquire additional Regular licenses, the annual subscription price will be 13,000 Euro (per year) for 10 Regular Users The client may acquire an additional 1000 Citizen (Lite) Users at an annual subscription price of 12,500 Euro (per year) at any time before the 2nd anniversary of the contract License Fee: 72,500 Euro per year Cloud Services Fees: 35,000 Euro per year Invoice Schedule: First year's fee will be split between 70% on contract signing and 30% on Go Live.For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement."
31,Financial,fee,fee,11,"1 Cloud Application: MetricStream will provide the Customer with the following Application/s: Type of License: Annual Subscription License Number of Authorized Users: Enterprise Risk Management - 10 Regular Users Internal Audit Management --10 Regular Users Compliance Management - 10 Regular Users 1000 Citizen (Lite) Users Additional Users: In the event that the client wants to acquire additional Regular licenses, the annual subscription price will be 13,000 Euro (per year) for 10 Regular Users The client may acquire an additional 1000 Citizen (Lite) Users at an annual subscription price of 12,500 Euro (per year) at any time before the 2nd anniversary of the contract License Fee: 72,500 Euro per year Cloud Services Fees: 35,000 Euro per year Invoice Schedule: First year's fee will be split between 70% on contract signing and 30% on Go Live.","['cloud', 'license']","['cloud', 'license']","Printed Name: 55 met SAAT Steven R. Springsteel Printed Name: Title: DIRECTAL CBURIAS Cestha Title:_ CFO Date:_20106/2007 celeolata Date: 6/22/2017 110116 v.   DocuSign Envelope ID: F3F9AB55-4121-49E9-BE97-0F363F76DCFC MetricStream Exhibit A Order Form No.1 Cloud Application: MetricStream will provide the Customer with the following Application/s: Type of License: Annual Subscription License Number of Authorized Users: Enterprise Risk Management - 10 Regular Users Internal Audit Management --10 Regular Users Compliance Management - 10 Regular Users 1000 Citizen (Lite) Users Additional Users: In the event that the client wants to acquire additional Regular licenses, the annual subscription price will be 13,000 Euro (per year) for 10 Regular Users The client may acquire an additional 1000 Citizen (Lite) Users at an annual subscription price of 12,500 Euro (per year) at any time before the 2nd anniversary of the contract License Fee: 72,500 Euro per year Cloud Services Fees: 35,000 Euro per year Invoice Schedule: First year's fee will be split between 70% on contract signing and 30% on Go Live.For each year thereafter, the fee will be invoiced to Customer upon the anniversary of the signing of this Agreement."
