,Category,Original Metadata,Metadata Match,Context,Possible Matches
13,Legal,Other Order Form Terms,Other Order Form Terms,"Customer agrees that the Company owns all right, title and interest, including but not limited to copyright, patent, trade secret and all other intellectual property rights, in and to the Cloud Application, and any changes, modifications or corrections thereof, Customer hereby irrevocably assigns to the Company any and all rights it may be deemed to have in any changes, modifications or corrections to the Cloud Application, including but not limited to copyright rights, and agrees to execute all documents necessary to implement and effect such assignment.Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the Order Form or SOW of this Agreement; or (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application, Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.",[]
14,Legal,Client Consent required to assign - Y/N,Client Consent,"Customer agrees that the Company owns all right, title and interest, including but not limited to copyright, patent, trade secret and all other intellectual property rights, in and to the Cloud Application, and any changes, modifications or corrections thereof, Customer hereby irrevocably assigns to the Company any and all rights it may be deemed to have in any changes, modifications or corrections to the Cloud Application, including but not limited to copyright rights, and agrees to execute all documents necessary to implement and effect such assignment.Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the Order Form or SOW of this Agreement; or (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application, Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.",[]
15,Legal,Client Consent required to assign - Y/N,Client Consent,"Customer shall not, and shall not permit any third party to, (i) modify or use the Cloud Application except to the extent permitted in Section 2.2 and the Order Form or SOW of this Agreement; or (ii) decompile, reverse engineer, disassemble or otherwise determine or attempt to determine source code (or the underlying ideas, algorithms, structure or organization) of any object code contained in the Cloud Application, Except as expressly set forth herein, Customer will not market, sublicense, distribute, reproduce, rent, lease or offer for timesharing the Cloud Application.Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.For any onsite services requested by Customer, Customer shall reimburse Metric Stream for actual, reasonable, pre-approved travel and out-of-pocket expenses incurred.",[]
16,Legal,Client Consent required to assign - Y/N,Client Consent,"Except as set forth in Section 9.2 hereto, this Agreement and the license granted pursuant hereto may not be assigned, sublicensed or otherwise transferred by Customer without the prior written consent of the Company, 2.4 Incidental Expenses.For any onsite services requested by Customer, Customer shall reimburse Metric Stream for actual, reasonable, pre-approved travel and out-of-pocket expenses incurred.Airfare expenses will be at coach fares, hotel and all other expenses will be reimbursed in accordance with Customer's Travel Policy.",[]
17,Time,Renewal Notice Period,Renewal Notice Period,"Metric Stream shall, as soon as possible, permanently remove and replace such Metric Stream Personnel with an individual of suitable ability and qualifications.In such event, Customer shall not be obligated to pay any expenses or other fees relating to the replacement of such MetricStream 21 Page 0.02 April 2016    MetricStream Personnel, including any training or other knowledge transfer activities or overlaps in periods of employment.Nothing in this provision shall operate or be construed to limit Metric Stream's responsibility for the acts or omissions of Metric Stream Personnel, or be construed as joint employment.",['April 2016']
18,Legal,Client Consent required to assign - Y/N,Client Consent,"c) Subcontractors.MetricStream shall not use any subcontractors to provide any Services under a SOW or Order Form without the prior written approval of Customer.MetricStream shall at all times be and remain directly and primarily liable to Custoiner for the performance of all of the obligations of MetricStream hereunder, including those assigned to or assumed by any subcontractors, and for subcontractors' compliance with this Agreement (whether or not Customer consented to the use of a subcontractor).",[]
19,Legal,Client Consent required to assign - Y/N,Client Consent,"MetricStream shall not use any subcontractors to provide any Services under a SOW or Order Form without the prior written approval of Customer.MetricStream shall at all times be and remain directly and primarily liable to Custoiner for the performance of all of the obligations of MetricStream hereunder, including those assigned to or assumed by any subcontractors, and for subcontractors' compliance with this Agreement (whether or not Customer consented to the use of a subcontractor).MetricStream shall ensure that each subcontractor complies, and that each subcontract includes provisions that require compliance by the applicable subcontractor with, the obligations of Metric Stream under this Agreement.",[]
20,Legal,Other Order Form Terms,Other Order Form Terms,"Metric Stream shall have no obligation to provide and Customer shall have no obligation to pay any fees for any services or other deliverables that are not explicitly set forth in any Order Form or SOW or in mutually executed ainendment thereto.3.0 TERM AND TERMINATION 3.1 Term.The terin of this Agreement shall be three (3) years, unless terminated as provided herein.",[]
21,Time,Renewal Term,Renewal Term,"3.0 TERM AND TERMINATION 3.1 Term.The terin of this Agreement shall be three (3) years, unless terminated as provided herein.The term of this Agreement will renew automnatically on its same terms for successive one-year terms unless either party terminates the Agreement after the initial term and upon sixty (60) days' prior written notice of renewal.","['3) years', 'one-year', ""60) days'""]"
22,Time,Renewal Term,Renewal Term,"The terin of this Agreement shall be three (3) years, unless terminated as provided herein.The term of this Agreement will renew automnatically on its same terms for successive one-year terms unless either party terminates the Agreement after the initial term and upon sixty (60) days' prior written notice of renewal.3.2 Termination for Cause, Either party may terminate this Agreement immediately: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other party; or (b) if either party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.","['3) years', 'one-year', ""60) days'"", 'thirty', '30) days']"
23,Agreement,breach,breach,"The term of this Agreement will renew automnatically on its same terms for successive one-year terms unless either party terminates the Agreement after the initial term and upon sixty (60) days' prior written notice of renewal.3.2 Termination for Cause, Either party may terminate this Agreement immediately: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other party; or (b) if either party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.",[]
24,Time,Renewal Term,Renewal Term,"The term of this Agreement will renew automnatically on its same terms for successive one-year terms unless either party terminates the Agreement after the initial term and upon sixty (60) days' prior written notice of renewal.3.2 Termination for Cause, Either party may terminate this Agreement immediately: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other party; or (b) if either party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.","['one-year', ""60) days'"", 'thirty', '30) days']"
25,Legal,Other Order Form Terms,Other Order Form Terms,"3.2 Termination for Cause, Either party may terminate this Agreement immediately: (a) in the event of the insolvency, bankruptcy or voluntary dissolution of the other party; or (b) if either party materially defaults in the performance of any material provision hereunder, and if such default continues and is not cured by the breaching party within thirty (30) days after written notice thereof.Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.",[]
26,Agreement,breach,breach,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
27,Fee,License Fee,License Fee,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
28,Fee,License Fee,License Fee,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
29,Legal,Other Order Form Terms,Other Order Form Terms,"Such termination right is in addition to, and not in limitation of, any other right or remedies available to either party.If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.",[]
30,Agreement,breach,breach,"If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.3.3 Effects of Termination.",[]
31,Fee,License Fee,License Fee,"If the Agreement is terminated by Customer for material breach by Metric Stream, then MetricStream shall provide Customer with a refund of the License fees paid to Metric Stream, calculated as follows: (a) if the breach occurs during the first year of the Agreement, the amount refunded will be equal to this Order Forin or all future License fees paid under future Order Forms; (b) if the breach occurs during the 2nd or 3rd years of the Agreemnent, the amount refunded will be equal to 1/36 of all future License fees paid, multiplied by the number of months remaining in the initial 3.year period; and (c) if the breach occurs after the initial 3-year period, Metric Stream shall provide no refund of any future License fees.3.3 Effects of Termination.",[]
32,Legal,Other Order Form Terms,Other Order Form Terms,"3.3 Effects of Termination.Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.",[]
33,Financial,Payment term,Payment term,"Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.",[]
34,Legal,Other Order Form Terms,Other Order Form Terms,"Upon expiration or termination of this Agreement, (a) Customer shall: (i) cease using the Services; and (ii) certify to MetricStream within one month after expiration or termination that Customer has destroyed or has returned to Metric Stream all related documentation and copies thereof; and (b) Metric Stream shall return to Customer all data furnished by Customer in connection with this Agreement, however any Metric Stream Services required to migrate Customer's data to other systems will be charged at MetricStream's then current services rates.Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.",[]
35,Financial,Payment term,Payment term,"Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.",[]
36,Legal,Other Order Form Terms,Other Order Form Terms,"Termination of this Agreement shall not relieve Customer's obligation to pay all undisputed fees that have accrued or are otherwise owed by Customer under this Agreement for Services performed by Metric Stream prior to termination.All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.",[]
37,Agreement,backup,backup,"All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.Metric Stream will work with Customer to ensure a smooth transition or wind-down of Services to Customer or a third party at the applicable hourly rates.",[]
38,Financial,Payment term,Payment term,"All such payments shall be made by Customer within thirty (30) days of any termination of this Agreement.In the event of termination, within 5 business days, Metric Stream shall provide a backup copy of Customer's database and application files in a VMWare instance of the production database on an encrypted hard drive provided by Customer.Metric Stream will work with Customer to ensure a smooth transition or wind-down of Services to Customer or a third party at the applicable hourly rates.",[]
39,Legal,Client Consent required to assign - Y/N,Client Consent,"During the transition or wind-down period, Metric Stream shall provide the related Services and provide the deliverables, in accordance with the applicable SOW and transition plan, INDEMNITY 4.1 By Metric Stream.Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.",[]
40,Fee,License Fee,License Fee,"Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.",[]
41,Fee,Third party product fee,Third party product fee,"Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.",[]
42,Legal,Client Consent required to assign - Y/N,Client Consent,"Metric Stream will defend, indemnify and hold Custoiner harmless against any costs (including reasonable legal costs), expenses or damages suffered or incurred by Customer arising out of any claim by a third party that the normal operation or use of the Software by Customer infringes the intellectual property rights of such third party, provided (a) Customer notifies Metric Stream promptly in writing of any such claim; (b) Customer does not enter into any settlement or compromise of any claim without the MetricStream's prior written consent; and (c) MetricStream has sole 3|Page 1.02 April 2010    MetricStream control of any such action or settlement negotiations and Customer provides Metric Stream with information and assistance, at Metric Stream's expense, necessary to settle or defend such claim.Metric Stream assumes no liability bereunder for, and shall have no obligation to defend Customer or to pay costs, damages or attorney's fees for any claim based upon: (a) the combination, operation or use of any Services furnished under this Agreement with software, hardware or other materials or services not provided by Metric Stream if such infringement would have been avoided in the absence of such combination, operation, or use; or (b) use of altered Services or services not authorized by Metric Stream, i.e., alterations to the Services by a party other than Metric Stream or not authorized by Metric Stream, if the infringement would have been avoided by the use of unaltered Services that Metric Stream provides to Customer; or (c) use or incorporation in the Services of any design, technique or specification furnished by Customer, if the infringement would not have occurred but for such incorporation or use; or (d) alteration of the Services by a party other than Metric Stream; or (e) Customer's use of the Services other than as permitted under this Agreement, In the event any portion of the Software or Services, including any deliverable under an Order Forin or SOW, is held or is likely to be held to constitute an infringement or misappropriation of intellectual property rights, or the continued provision or use of any Software or Service is enjoined or likely to be enjoined, then Metric Stream, at its own expense, shall (a) procure for Customer the right to continue to use such Software or Services, or (b) modify or replace such Software or Service so that it is non-infringing and of at least equivalent performance and functionality to that prior to such modification or replacement.If none of the foregoing is possible and iſ such Software or Services are found to infringe by a court of competent jurisdiction, Customer will have the right, in its sole discretion, to terminate this Agreement or the relevant Order Form or SOW with respect to such Software or Services, in which case MeiricStream will refund to Customer all amounts paid by Customer for access and use of such Software or Services.",[]
